GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
322497830,20141108,201411,2014,2014.8438,TUN,ARIANA,TUN,,,,,,,,MED,EDITOR IN CHIEF,,,,,,MED,,,0,111,111,11,3,-2.0,10,1,10,1.53508771929825,0,,,,,,,0,,,,,,,0,,,,,,,20141108,http://www.breitbart.com/Big-Journalism/2014/11/07/Huffington-Post-Delivers-Disciplinary-Actions-Against-Editors-and-Writers
322497829,20141108,201411,2014,2014.8438,TUN,ARIANA,TUN,,,,,,,,MED,EDITOR IN CHIEF,,,,,,MED,,,0,110,110,11,3,-2.0,10,1,10,1.53508771929825,0,,,,,,,0,,,,,,,0,,,,,,,20141108,http://www.breitbart.com/Big-Journalism/2014/11/07/Huffington-Post-Delivers-Disciplinary-Actions-Against-Editors-and-Writers
320418213,20141026,201410,2014,2014.811,TUN,ARIANA,TUN,,,,,,,,,,,,,,,,,,1,055,055,05,1,7.0,5,1,5,2.68817204301075,0,,,,,,,0,,,,,,,0,,,,,,,20141026,http://www.wtvq.com:80/story/d/story/jennifer-lopez-joins-iggy-azalea-for-surprise-song/19731/8_1SpMlihkGmlLMKmGMsrw
320418219,20141026,201410,2014,2014.811,TUN,ARIANA,TUN,,,,,,,,,,,,,,,,,,1,112,112,11,3,-2.0,5,1,5,2.68817204301075,0,,,,,,,0,,,,,,,0,,,,,,,20141026,http://www.wtvq.com:80/story/d/story/jennifer-lopez-joins-iggy-azalea-for-surprise-song/19731/8_1SpMlihkGmlLMKmGMsrw
324041793,20141118,201411,2014,2014.8712,TUN,ARIANA,TUN,,,,,,,,,,,,,,,,,,1,051,051,05,1,3.4,10,1,10,9.79020979020979,0,,,,,,,0,,,,,,,0,,,,,,,20141118,http://www.wtok.com/home/headlines/Hayley-Williams-to-Get-Trailblazer-Award-283126551.html
320574681,20141027,201410,2014,2014.8137,TUN,ARIANA,TUN,,,,,,,,,,,,,,,,,,1,042,042,04,1,1.9,10,1,10,7.69230769230769,0,,,,,,,0,,,,,,,0,,,,,,,20141027,http://www.breakingnews.ie/showbiz/mtv-to-honour-songs-message-647798.html
324217940,20141119,201411,2014,2014.874,TUN,ARIANA,TUN,,,,,,,,,,,,,,,,,,1,051,051,05,1,3.4,10,1,10,9.79020979020979,0,,,,,,,0,,,,,,,0,,,,,,,20141119,http://www.wtok.com/home/headlines/283126551.html
323478344,20141114,201411,2014,2014.8603,TUN,ARIANA,TUN,,,,,,,,MED,NEWSPAPER,,,,,,MED,,,1,110,110,11,3,-2.0,10,1,10,5.89887640449438,0,,,,,,,0,,,,,,,0,,,,,,,20141114,http://www.mynextfone.co.uk/travel/ariana-grande-certainly-knows-how-to-work-the-stage-the-h397546.html
323478290,20141114,201411,2014,2014.8603,TUN,ARIANA,TUN,,,,,,,,,,,,,,,,,,1,020,020,02,1,3.0,10,1,10,5.89887640449438,0,,,,,,,0,,,,,,,0,,,,,,,20141114,http://www.mynextfone.co.uk/travel/ariana-grande-certainly-knows-how-to-work-the-stage-the-h397546.html
323478343,20141114,201411,2014,2014.8603,TUN,ARIANA,TUN,,,,,,,,MED,NEWSPAPER,,,,,,MED,,,1,010,010,01,1,0.0,10,1,10,5.89887640449438,0,,,,,,,0,,,,,,,0,,,,,,,20141114,http://www.mynextfone.co.uk/travel/ariana-grande-certainly-knows-how-to-work-the-stage-the-h397546.html
