GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
319590859,20141021,201410,2014,2014.7973,GOV,GOVERNMENT,,,,,,GOV,,,TUN,TUNISIA,TUN,,,,,,,,0,112,112,11,3,-2.0,2,1,2,2.22222222222222,1,Algeria,AG,AG,28.0,3.0,AG,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141021,http://www.globalpost.com/dispatch/news/afp/141021/tunisia-the-fall-ben-ali
323042576,20141112,201411,2014,2014.8548,DZA,ALGERIA,DZA,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,130,130,13,3,-4.4,8,1,8,2.56410256410256,1,Algeria,AG,AG,28.0,3.0,AG,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141112,http://allafrica.com/stories/201411121802.html
321931368,20141105,201411,2014,2014.8356,DZA,ALGERIAN,DZA,,,,,,,,TUN,TUNISIAN,TUN,,,,,,,,1,190,190,19,4,-10.0,25,1,25,0.873362445414847,1,Algeria,AG,AG,28.0,3.0,AG,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141105,http://www.worldbulletin.net/haberler/147818/three-tunisian-soldiers-killed-in-attack
319909127,20141023,201410,2014,2014.8027,AUS,AUSTRALIAN,AUS,,,,,,,,TUN,TUNISIAN,TUN,,,,,,,,1,190,190,19,4,-10.0,2,1,2,0.0,1,Australia,AS,AS,-27.0,133.0,AS,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141023,https://au.news.yahoo.com/thewest/business/world/a/25335100/tunisian-security-forces-member-killed-in-firefight-near-tunis/
320018365,20141023,201410,2014,2014.8027,TUNCOP,TUNISIA,TUN,,,,,COP,,,TUN,TUNISIA,TUN,,,,,,,,1,190,190,19,4,-10.0,2,1,2,0.0,1,Australia,AS,AS,-27.0,133.0,AS,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141023,https://au.news.yahoo.com/thewest/business/world/a/25335100/tunisian-security-forces-member-killed-in-firefight-near-tunis/
322546564,20141109,201411,2014,2014.8466,CANGOV,CANADA,CAN,,,,,GOV,,,TUN,TUNISIA,TUN,,,,,,,,1,051,051,05,1,3.4,1,1,1,5.71428571428571,1,Canada,CA,CA,60.0,-95.0,CA,1,Canada,CA,CA,60.0,-95.0,CA,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141109,http://allafrica.com/stories/201411090110.html
316495081,20141001,201410,2014,2014.7425,CMR,CAMEROONIAN,CMR,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,046,046,04,1,7.0,8,1,8,1.79640718562874,1,Cameroon,CM,CM,6.0,12.0,CM,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141001,http://www.africaleader.com/index.php/sid/226241751/scat/c1ab2109a5bf37ec
322743549,20141110,201411,2014,2014.8493,MED,LOCAL MEDIA,,,,,,MED,,,TUN,TUNISIA,TUN,,,,,,,,1,043,043,04,1,2.8,2,1,2,4.54258675078864,1,Northern Mariana Islands,CQ,CQ,19.4355,144.888,CQ,4,"Monastir, Al Munastir, Tunisia",TS,TS16,35.7833,10.8333,-722610,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141110,http://www.middleeasteye.net/news/tunisia-s-nidaa-tounes-nostalgia-past-never-was-313445692
322743547,20141110,201411,2014,2014.8493,MED,LOCAL MEDIA,,,,,,MED,,,TUN,TUNISIA,TUN,,,,,,,,1,042,042,04,1,1.9,2,1,2,4.54258675078864,1,Northern Mariana Islands,CQ,CQ,19.4355,144.888,CQ,4,"Monastir, Al Munastir, Tunisia",TS,TS16,35.7833,10.8333,-722610,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141110,http://www.middleeasteye.net/news/tunisia-s-nidaa-tounes-nostalgia-past-never-was-313445692
322743548,20141110,201411,2014,2014.8493,MED,LOCAL MEDIA,,,,,,MED,,,TUN,TUNISIA,TUN,,,,,,,,1,042,042,04,1,1.9,2,1,2,4.54258675078864,1,Northern Mariana Islands,CQ,CQ,19.4355,144.888,CQ,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141110,http://www.middleeasteye.net/news/tunisia-s-nidaa-tounes-nostalgia-past-never-was-313445692
